,area_name,population_13,air_pollution_13,bioclimatic_stress_13,green_area_13,noise_13,social_status_13
0,Ackerstr.,6078.0,4,4,3,4,2
1,Adamstr.,16144.0,3,4,4,3,3
2,Adele-Sandrock-Str.,8736.0,3,4,4,2,3
3,Adlershof Ost,14979.0,3,3,3,3,3
5,Alexanderplatzviertel,8107.0,4,4,3,4,3
6,Allende I,4639.0,3,3,4,3,3
7,Allende II,1562.0,3,3,4,3,3
8,Alt-Biesdorf,2537.0,3,3,4,4,4
9,Alt-Gatow,3474.0,2,2,4,3,4
10,Alt-Karow,8185.0,2,2,4,3,4
11,Alt-Kaulsdorf,3591.0,2,3,4,3,4
12,Alt-Lankwitz,4866.0,3,3,3,3,3
13,Alt-Lichtenrade/Töpchiner Weg,10199.0,2,3,4,3,3
14,Alt-Lietzow,8248.0,4,4,4,3,3
15,Alt-Mahlsdorf,3852.0,2,3,4,3,4
16,Alt-Marzahn,17062.0,3,4,4,3,3
17,Alt-Rudow,9530.0,3,3,4,2,3
18,Alt-Tegel,9978.0,3,3,4,2,3
19,Alte Hellersdorfer Straße,5831.0,3,3,4,3,1
20,Altstadt-Kietz,6775.0,3,4,3,3,3
21,Am Heideberg,1763.0,2,3,4,4,3
23,Am Treptower Park Süd,4133.0,3,3,4,4,3
24,Amorbacher Weg,7383.0,3,2,4,4,3
25,Amtsgerichtsplatz,11277.0,4,4,2,3,3
26,An der Kappe,5940.0,3,3,4,4,3
27,An der Tränke,1949.0,2,3,4,4,4
28,Andreasviertel,11765.0,4,4,2,4,3
29,Angerburger Allee,2550.0,3,3,4,3,3
30,Anton-Saefkow-Park,5611.0,4,4,3,3,3
31,Arkonaplatz,11254.0,3,4,2,3,4
32,Arnimplatz,13450.0,3,4,2,3,3
33,Askanischer Platz,6059.0,4,4,4,3,1
34,Augustaplatz,11489.0,3,3,4,3,3
35,Babelsberger Straße,6504.0,4,4,3,4,3
36,Barbarossaplatz,10040.0,3,4,2,3,3
37,Barnimkiez,5380.0,3,3,4,4,3
38,Baumschulenstraße,14134.0,3,3,3,3,3
39,Bayerischer Platz,10335.0,4,4,2,3,3
40,Behaimstraße,5221.0,3,4,3,3,3
41,Bergstr.,6354.0,4,4,3,3,3
42,Berlepschstr.,5528.0,3,3,4,2,4
43,Beusselkiez,5556.0,4,4,2,3,1
44,Biesdorf Süd,8626.0,2,3,4,3,4
